ID,Sex,Age,Region,Children,Est_Income,Car_Owner,Status,Lifetime Segments,Loyalty Level,International Segments,Local Segments,Cancellations,Type Travel,Customer_Segments,Trips_To_The_Website_Yr
1,F,24.393333,2,1,38000,N,S,229.64,3,0,206.08,0,Business,High Income Families,46
6,M,49.426667,3,2,29616,N,M,75.29,2,0,45.5,0,Personal,Low Value and No Kids,15
8,M,50.673333,1,0,19732.8,N,M,47.25,3,0,22.44,0,Business,High Income Families,9
11,M,56.473333,3,2,96.33,N,S,59.01,1,0,32.88,1,Business,High Income Families,12
14,F,25.14,3,2,52004.8,N,M,28.14,1,0,23.11,0,Personal,Low Value and No Kids,6
17,M,18.84,3,2,53010.8,N,M,58.87,1,0,46.42,4,Business,High Income Families,12
18,M,64.8,2,1,75004.5,N,M,58.72,1,0,32.19,0,Business,High Income Families,12
21,M,60.366667,1,0,19749.3,N,M,34.17,3,0,13.94,0,Business,High Income Families,7
22,M,43.906667,2,1,57626.9,Y,S,48.35,2,0,38.96,0,Business,High Income Families,10
23,M,32.846667,3,2,20078,N,M,15.98,4,0,6.33,0,Business,High Income Families,3
24,F,26.033333,3,2,47902,N,M,72.31,2,4.94,49.92,1,Personal,Married No Kids,14
29,M,16.753333,2,1,7545.96,Y,M,200.75,3,0,178.36,0,Business,High Income Families,40
35,F,48.373333,1,0,78851.3,N,S,29.04,4,0,28.66,0,Business,High Income Families,6
36,F,62.786667,2,1,17540.7,Y,S,36.2,4,0.57,13.45,0,Personal,Married No Kids,7
37,F,61.02,1,0,83891.9,Y,M,74.4,4,0,45.47,0,Personal,Low Value and No Kids,15
38,F,38.766667,3,2,28220.8,N,M,38.95,4,0,12.46,0,Business,High Income Families,8
40,F,15.6,1,0,28589.1,N,S,100.28,4,0,87.09,0,Business,High Income Families,20
42,F,48.753333,3,2,5237.63,N,M,78.02,2,8.05,56.64,0,Business,High Income Families,16
45,M,53.28,3,2,89459.9,N,S,36.05,2,1.61,22.9,0,Business,High Income Families,7
48,F,39.426667,2,1,13576.5,N,S,40.49,1,0,25.66,0,Business,High Income Families,8
52,F,53.12,3,2,67388,N,M,96.33,3,0.5,91.04,1,Business,High Income Families,19
53,F,52.333333,2,1,57063,Y,M,98.1,4,0,81.3,0,Personal,Low Value and No Kids,20
54,F,54.013333,3,2,84166.1,N,M,15.02,2,0,11.74,1,Business,High Income Families,3
60,F,42.666667,2,1,7737.94,N,S,61.9,4,0,50.84,0,Business,High Income Families,12
61,M,50,3,2,100020,N,S,314.62,4,0,293.24,0,Personal,Low Value and No Kids,63
62,F,29.026667,3,2,45287.6,Y,M,2.97,3,0,2.97,0,Business,High Income Families,1
63,F,34.32,3,2,59613.1,N,M,175.78,1,0,163.41,0,Business,High Income Families,35
65,F,50.613333,2,1,16326.7,N,S,1.34,1,0,1.34,0,Business,High Income Families,0
68,F,51.38,3,2,9559.78,N,S,77.91,3,0,59.59,0,Business,High Income Families,16
71,F,50.753333,3,2,42031.8,N,M,59.78,4,0,39.33,0,Personal,Low Value and No Kids,12
73,F,28.42,3,2,83284.1,Y,M,35.96,4,0,9.04,0,Personal,Married No Kids,7
74,M,26.26,2,1,39229.1,N,M,47.1,4,4.74,13.53,0,Business,High Income Families,9
75,F,42.393333,1,0,68427.4,N,S,73.81,3,0,50.05,0,Personal,Married No Kids,15
77,M,49.266667,1,0,3601.71,N,S,125.6,4,4.19,111.84,0,Personal,Married No Kids,25
78,F,27.646667,1,0,72642.6,N,M,39,4,0,20.34,0,Personal,Low Value and No Kids,8
79,F,55.66,1,0,98716.3,N,S,43.13,4,8.23,13.92,0,Business,High Income Families,9
80,F,62.48,3,2,66182.7,Y,S,58.87,2,0,47.17,0,Personal,Married No Kids,12
81,F,50.433333,3,2,84789.3,N,M,33.47,4,8.8,10.45,0,Personal,Low Value and No Kids,7
83,F,48.853333,3,2,35976.5,Y,M,50.63,4,0,31.78,0,Personal,Married No Kids,10
84,F,64.92,1,0,32703.1,Y,M,72.89,4,0,56.09,0,Business,High Income Families,15
85,F,61.846667,2,1,77129.1,Y,M,44.85,4,0,20.07,0,Personal,Low Value and No Kids,9
86,F,52.973333,3,2,8204.72,N,M,39.79,3,0,24.19,0,Personal,Low Value and No Kids,8
87,M,50.6,2,1,97180.4,N,M,63.51,4,9.63,45.66,0,Business,High Income Families,13
88,F,60.226667,1,0,80405.1,N,M,28.98,4,8.95,17.11,0,Business,High Income Families,6
89,F,33.74,3,2,38280,N,S,86.61,4,0,74.97,0,Personal,Married No Kids,17
90,M,61.106667,1,0,64136.6,Y,S,142.37,2,1,125.15,0,Business,High Income Families,28
92,F,61.713333,3,2,45429.7,Y,M,97.74,2,0,73.04,0,Personal,Low Value and No Kids,20
94,F,53.986667,1,0,25285.5,N,S,21.3,1,0,11.93,0,Business,High Income Families,4
95,F,33.6,3,2,77551.1,Y,M,62.42,2,0,41.89,1,Business,High Income Families,12
96,F,12.326667,1,0,38538.4,N,M,47.66,3,8.32,16.48,0,Business,High Income Families,10
97,F,57.42,1,0,69350.5,Y,S,27.86,4,0,25.95,0,Business,High Income Families,6
104,M,21.78,3,2,43634.5,N,S,143.5,1,9.42,104.64,0,Business,High Income Families,29
108,F,62.606667,2,1,13109.1,N,S,62.87,1,0,40.48,0,Personal,Married No Kids,13
109,M,56.046667,2,1,92647.5,N,S,32.13,4,5.74,10.34,0,Business,High Income Families,6
110,F,62.753333,3,2,21021.6,Y,S,14.95,3,0,11.19,0,Business,High Income Families,3
111,M,55.34,1,0,74460.7,Y,S,206.46,2,0.99,179.93,0,Business,High Income Families,41
114,F,41.666667,3,2,28787.4,N,S,86.06,2,0,58.09,0,Personal,Married No Kids,17
117,M,59.126667,2,1,13091.6,N,M,43.06,2,0,20.26,0,Business,High Income Families,9
120,F,45.92,3,2,62061.8,Y,M,82.08,2,0,52.22,0,Personal,Married No Kids,16
121,F,22.12,2,1,20550.9,Y,M,85.64,3,0.86,57.06,0,Business,High Income Families,17
124,M,18.766667,3,2,1765.41,N,M,47.99,4,0,44.95,0,Business,High Income Families,10
127,F,56.186667,3,2,19131.1,N,S,57.07,2,0,34.91,0,Personal,Married No Kids,11
130,F,39.553333,3,2,83073.7,N,S,3.2,4,0,3.2,0,Business,High Income Families,1
133,M,50.493333,3,2,42750.3,Y,M,134.97,1,1.97,112.4,0,Personal,Married No Kids,27
135,F,45.92,3,2,2842.55,N,S,0.79,2,0,0.79,0,Personal,Married No Kids,0
136,M,52.626667,3,2,22358.1,N,M,29.25,1,1.52,12.19,0,Business,High Income Families,6
138,M,27.26,1,0,47870.8,Y,M,13.82,2,1.17,12.48,0,Business,High Income Families,3
139,F,52.646667,3,2,6440.46,Y,S,49.86,1,0,27.2,0,Personal,Low Value and No Kids,10
140,F,36.92,1,0,7325.5,N,S,190.06,2,0,161.54,0,Business,High Income Families,38
142,M,46.84,3,2,28766.9,N,M,64.2,1,0,58.08,0,Business,High Income Families,13
148,M,25.033333,3,2,91272.2,Y,M,40,3,0,13.01,0,Business,High Income Families,8
154,M,45.653333,1,0,65000,Y,S,137,4,9.7,115.66,1,Personal,Married No Kids,27
158,M,19.306667,3,2,1406.05,Y,M,26.72,1,0,15.17,0,Business,High Income Families,5
160,F,62,1,0,73228.3,N,S,50.58,4,0,28.11,0,Personal,Married No Kids,10
161,F,63.806667,3,2,76231.9,N,S,152.76,2,0,150.75,0,Personal,Married No Kids,31
166,M,52.146667,2,1,64792.3,N,M,51.41,3,1.51,36.84,0,Personal,Low Value and No Kids,10
169,F,40.313333,1,0,93322.1,Y,S,38.72,1,0,8.79,0,Personal,Low Value and No Kids,8
174,M,63.653333,2,1,63437.3,N,M,14.98,4,3.35,10.94,0,Business,High Income Families,3
178,M,51.52,3,2,49910.7,Y,M,51.14,3,0,23.72,0,Business,High Income Families,10
180,M,44.573333,1,0,76161.4,Y,M,37.55,4,0,25.58,0,Business,High Income Families,8
181,F,14.573333,3,2,55860,Y,M,26.37,3,0,10.35,0,Business,High Income Families,5
182,F,64.8,2,1,12686,N,S,103.88,2,0,80.64,0,Personal,Married No Kids,21
190,M,53.253333,3,2,57360.8,Y,M,67.61,1,0,57.25,0,Business,High Income Families,14
191,M,45.513333,1,0,92414.7,Y,M,40.06,4,0,10.62,0,Business,High Income Families,8
192,M,42.14,2,1,60102.7,N,M,72.29,3,0,62.44,1,Personal,Low Value and No Kids,14
194,F,55,3,2,17888.7,N,M,361.88,1,0,332.46,0,Business,High Income Families,72
195,F,53.553333,2,1,12526.3,N,S,40.59,2,0,28.86,0,Business,High Income Families,8
198,F,60.933333,3,2,14578.8,Y,S,107.02,1,0,95.1,0,Personal,Married No Kids,21
201,M,42.346667,1,0,78572.2,Y,M,51.09,4,0,29.28,1,Business,High Income Families,10
203,F,34.706667,3,2,48238.8,N,M,191.32,4,0,168.03,0,Business,High Income Families,38
205,F,12.34,1,0,28770.9,N,M,49.6,4,5.32,16.27,0,Personal,Low Value and No Kids,10
206,F,53.366667,3,2,87578.2,Y,M,22.44,1,0,22.15,0,Business,High Income Families,4
207,F,13.906667,3,2,86695.4,N,M,58.03,2,0,32.09,0,Business,High Income Families,12
209,F,61,3,2,76791.2,N,S,43.71,4,0,23,0,Business,High Income Families,9
213,F,14.193333,1,0,30763.8,Y,D,57.17,4,0,35.85,0,Business,High Income Families,11
214,F,54.046667,3,2,3193.6,N,M,118.82,3,0,114.62,1,Personal,Low Value and No Kids,24
215,M,15.846667,2,1,69680.9,N,M,39.8,2,0,32.12,0,Business,High Income Families,8
218,F,45.486667,1,0,83287,N,M,119.82,3,0,90.18,4,Personal,Married No Kids,24
219,M,18.94,1,0,2056.06,Y,S,58.8,2,6.98,27.75,0,Personal,Married No Kids,12
